# --- FROM UK_240416_floors_1to3.dat + diaphragms / rated wall / seismic LC1 ---
# 1F-3F frame; 2F semi-rigid floor (FLOOR_MAG=2), R semi-rigid roof (ROOF_MAG=2).
# 1F rated wall M=2; LC1 seismic X on 2F/3F diaphragms.

# --- MATERIAL(MATE) ---
# MATE,   ID,       NAME,        E,        G,    Gamma,    Alpha,       Fy
#     ,     ,           ,    N/mm2,    N/mm2,    kN/m3,        -,    N/mm2

MATE, 0, E120F330, 12000, 800, 5, 0, 22,
MATE, 2, FC24, 22669, 9445, 24, 0, 16,

# --- SECTION(SECT) ---
# SECT,   ID,       NAME,    MAT,   TYPE,     DIM1,     DIM2,     DIM3,     DIM4
#     ,     ,           ,       ,       ,       mm,       mm,       mm,       mm
#   TYPE: 0=RECT  1=CIRC  2=I  3=CHS  4=RHS
#   DIM3,DIM4: optional; omit for types with fewer dimensions

SECT,      0,    120x120,      0,      0,      120,      120
SECT,      3,    300x450,      2,      0,      450,      300
SECT,      4,  G:120x300,      0,      0,      300,      120
SECT,      5,    120x300,      0,      0,      300,      120
SECT,      6,    120x120,      0,      0,      120,      120

# --- NODE ---
# NODE,   ID,         X,         Y,         Z
#     ,     ,         m,         m,         m

NODE,      0,       0.0,     7.795,       0.3
NODE,      1,       0.0,     7.795,     3.035
NODE,      2,       0.0,     6.885,       0.3
NODE,      3,       0.0,     6.885,     3.035
NODE,      4,       0.0,     5.975,       0.3
NODE,      5,       0.0,     5.975,     3.035
NODE,      6,       0.0,     5.065,       0.3
NODE,      7,       0.0,     5.065,     3.035
NODE,      8,       0.0,     4.155,       0.3
NODE,      9,       0.0,     4.155,     3.035
NODE,     10,       0.0,     3.245,       0.3
NODE,     11,       0.0,     3.245,     3.035
NODE,     12,       0.0,     2.335,       0.3
NODE,     13,       0.0,     2.335,     3.035
NODE,     14,       4.5,     4.155,       0.3
NODE,     15,       4.5,     4.155,     3.035
NODE,     16,       4.5,     5.975,       0.3
NODE,     17,       4.5,     5.975,     3.035
NODE,     18,       4.5,     7.795,       0.3
NODE,     19,       4.5,     7.795,     3.035
NODE,     20,       4.5,     6.885,       0.3
NODE,     21,       4.5,     6.885,     3.035
NODE,     22,       4.5,     5.065,       0.3
NODE,     23,       4.5,     5.065,     3.035
NODE,     24,       6.3,     5.975,       0.3
NODE,     25,       6.3,     5.975,     3.035
NODE,     26,       6.3,     6.885,       0.3
NODE,     27,       6.3,     6.885,     3.035
NODE,     28,       6.3,     7.795,       0.3
NODE,     29,       6.3,     7.795,     3.035
NODE,     30,       0.9,     7.795,       0.3
NODE,     31,       0.9,     7.795,     3.035
NODE,     32,       6.3,     4.155,       0.3
NODE,     33,       6.3,     4.155,     3.035
NODE,     34,       6.3,     3.245,       0.3
NODE,     35,       6.3,     3.245,     3.035
NODE,     36,       6.3,     2.335,       0.3
NODE,     37,       6.3,     2.335,     3.035
NODE,     38,       4.5,     2.335,       0.3
NODE,     39,       4.5,     2.335,     3.035
NODE,     40,       4.5,     1.425,       0.3
NODE,     41,       4.5,     1.425,     3.035
NODE,     42,       0.0,     1.425,       0.3
NODE,     43,       0.0,     1.425,     3.035
NODE,     44,       6.3,     0.515,       0.3
NODE,     45,       6.3,     0.515,     3.035
NODE,     46,       0.0,     0.515,       0.3
NODE,     47,       0.0,     0.515,     3.035
NODE,     48,       6.3,     5.065,       0.3
NODE,     49,       6.3,     5.065,     3.035
NODE,     50,       5.4,     5.065,       0.3
NODE,     51,       5.4,     5.065,     3.035
NODE,     52,       5.4,     7.795,       0.3
NODE,     53,       5.4,     7.795,     3.035
NODE,     54,       0.9,       0.0,       0.3
NODE,     55,       0.9,       0.0,     3.035
NODE,     56,       6.3,       0.0,       0.3
NODE,     57,       6.3,       0.0,     3.035
NODE,     58,       4.5,       0.0,       0.3
NODE,     59,       4.5,       0.0,     3.035
NODE,     60,       3.6,       0.0,       0.3
NODE,     61,       3.6,       0.0,     3.035
NODE,     62,       0.0,       0.0,       0.3
NODE,     63,       0.0,       0.0,     3.035
NODE,     64,       5.7,       0.0,       0.3
NODE,     65,       5.7,       0.0,     3.035
NODE,     66,       1.8,     5.975,       0.3
NODE,     67,       1.8,     5.975,     3.035
NODE,     68,       0.9,     5.975,       0.3
NODE,     69,       0.9,     5.975,     3.035
NODE,     70,       2.7,     7.795,       0.3
NODE,     71,       2.7,     7.795,     3.035
NODE,     72,       1.8,     7.795,       0.3
NODE,     73,       1.8,     7.795,     3.035
NODE,     74,       3.6,     7.795,       0.3
NODE,     75,       3.6,     7.795,     3.035
NODE,     76,       5.7,     1.425,       0.3
NODE,     77,       5.7,     1.425,     3.035
NODE,     78,       6.3,     1.425,       0.3
NODE,     79,       6.3,     1.425,     3.035
NODE,     80,       0.0,     7.795,     6.045
NODE,     81,       0.0,     6.885,     6.045
NODE,     82,       0.0,     5.975,     6.045
NODE,     83,       0.0,     5.065,     6.045
NODE,     84,       0.0,     4.155,     6.045
NODE,     85,       0.0,     3.245,     6.045
NODE,     86,       0.0,     2.335,     6.045
NODE,     87,       4.5,     4.155,     6.045
NODE,     88,       4.5,     7.795,     6.045
NODE,     89,       4.5,     3.245,     3.035
NODE,     90,       4.5,     3.245,     6.045
NODE,     91,       4.5,     2.335,     6.045
NODE,     92,       4.5,     1.425,     6.045
NODE,     93,       4.5,     0.515,     3.035
NODE,     94,       4.5,     0.515,     6.045
NODE,     95,       4.5,     5.975,     6.045
NODE,     96,       4.5,     6.885,     6.045
NODE,     97,       4.5,     5.065,     6.045
NODE,     98,       6.3,     6.885,     6.045
NODE,     99,       6.3,     5.975,     6.045
NODE,    100,       6.3,     7.795,     6.045
NODE,    101,       0.9,     7.795,     6.045
NODE,    102,       5.4,     2.335,     3.035
NODE,    103,       5.4,     2.335,     6.045
NODE,    104,       3.6,     7.795,     6.045
NODE,    105,       6.3,     4.155,     6.045
NODE,    106,       6.3,     3.245,     6.045
NODE,    107,       6.3,     2.335,     6.045
NODE,    108,       6.3,     1.425,     6.045
NODE,    109,       0.0,     1.425,     6.045
NODE,    110,       6.3,     0.515,     6.045
NODE,    111,       0.0,     0.515,     6.045
NODE,    112,       6.3,     5.065,     6.045
NODE,    113,       5.4,     7.795,     6.045
NODE,    114,       0.9,       0.0,     6.045
NODE,    115,       5.4,       0.0,     3.035
NODE,    116,       5.4,       0.0,     6.045
NODE,    117,       0.0,       0.0,     6.045
NODE,    118,       4.5,       0.0,     6.045
NODE,    119,       6.3,       0.0,     6.045
NODE,    120,       3.6,       0.0,     6.045
NODE,    121,       2.7,     7.795,     6.045
NODE,    147,       5.4,     1.425,     6.045
NODE,    181,      2.25,       0.0,       0.3
