# --- HEADER ---

# DATE: 2024/02/21 08:47:22
# NUM. OF MATERIALS: 1
# NUM. OF CROSS-SECTIONS 2
# NUM. OF NODES: 34
# NUM. OF ELEMENTS: 90
# NUM. OF CONSTRAINED NODES: 2
# NUM. OF LOADS: 16

### <INPUT DATA> ### 

# TYPE OF ANALYSIS: 3D LINEAR STATIC

# --- MATERIAL(MATE) ---
# MATE,   ID,       NAME,        E,        G,    Gamma,    Alpha,       Fy
#     ,     ,           ,    N/mm2,    N/mm2,    kN/m3,        -,    N/mm2

MATE,      1,      SS400,   205000,    79000,     78.5,  1.2e-05,      235

# --- SECTION(SECT) ---
# SECT,   ID,       NAME,    MAT,   TYPE,     DIM1,     DIM2,     DIM3,     DIM4
#     ,     ,           ,       ,       ,       mm,       mm,       mm,       mm
#   TYPE: 0=RECT  1=CIRC  2=I  3=CHS  4=RHS
#   DIM3,DIM4: optional; omit for types with fewer dimensions

SECT,      1,         B1,      1,      0,    100.0,    300.0
SECT,      2,         G1,      1,      2,    400.0,    400.0,      8.0,     12.0

# --- NODE ---
# NODE,   ID,         X,         Y,         Z
#     ,     ,         m,         m,         m

NODE,      1,       0.0,       1.5,       0.0,      *
NODE,      2,       0.0,       0.0,       0.0,      *
NODE,      3,       2.0,       1.5,       0.0,       
NODE,      4,       2.0,       0.0,       0.0,       
NODE,      5,       4.0,       1.5,       0.0,       
NODE,      6,       4.0,       0.0,       0.0,       
NODE,      7,       6.0,       1.5,       0.0,       
NODE,      8,       6.0,       0.0,       0.0,       
NODE,      9,       8.0,       1.5,       0.0,       
NODE,     10,       8.0,       0.0,       0.0,       
NODE,     11,      10.0,       1.5,       0.0,       
NODE,     12,      10.0,       0.0,       0.0,       
NODE,     13,      12.0,       1.5,       0.0,       
NODE,     14,      12.0,       0.0,       0.0,       
NODE,     15,      14.0,       1.5,       0.0,       
NODE,     16,      14.0,       0.0,       0.0,       
NODE,     17,      16.0,       1.5,       0.0,       
NODE,     18,      16.0,       0.0,       0.0,       
NODE,     19,      18.0,       1.5,       0.0,       
NODE,     20,      18.0,       0.0,       0.0,       
NODE,     21,      20.0,       1.5,       0.0,       
NODE,     22,      20.0,       0.0,       0.0,       
NODE,     23,      22.0,       1.5,       0.0,       
NODE,     24,      22.0,       0.0,       0.0,       
NODE,     25,      24.0,       1.5,       0.0,       
NODE,     26,      24.0,       0.0,       0.0,       
NODE,     27,      26.0,       1.5,       0.0,       
NODE,     28,      26.0,       0.0,       0.0,       
NODE,     29,      28.0,       1.5,       0.0,       
NODE,     30,      28.0,       0.0,       0.0,       
NODE,     31,      30.0,       1.5,       0.0,       
NODE,     32,      30.0,       0.0,       0.0,       
NODE,     33,      31.0,       1.5,       0.0,       
NODE,     34,      31.0,       0.0,       0.0,       

# --- ELEMENT(ELEM) ---
# ELEM,   ID,     Ni,     Nj,    SEC,     Beta
#     ,     ,       ,       ,       ,      deg

ELEM,      1,      1,      3,      1
ELEM,      2,      1,      4,      1
ELEM,      3,      2,      4,      1
ELEM,      4,      3,      4,      1
ELEM,      5,      3,      5,      1
ELEM,      6,      3,      6,      1
ELEM,      7,      4,      6,      1
ELEM,      8,      5,      6,      1
ELEM,      9,      5,      7,      1
ELEM,     10,      5,      8,      1
ELEM,     11,      6,      8,      1
ELEM,     12,      7,      8,      1
ELEM,     13,      7,      9,      1
ELEM,     14,      7,     10,      1
ELEM,     15,      8,     10,      1
ELEM,     16,      9,     10,      1
ELEM,     17,      9,     11,      1
ELEM,     18,      9,     12,      1
ELEM,     19,     10,     12,      1
ELEM,     20,     11,     12,      1
ELEM,     21,     11,     13,      1
ELEM,     22,     11,     14,      1
ELEM,     23,     12,     14,      1
ELEM,     24,     13,     14,      1
ELEM,     25,     13,     15,      1
ELEM,     26,     13,     16,      1
ELEM,     27,     14,     16,      1
ELEM,     28,     15,     16,      1
ELEM,     29,     15,     17,      1
ELEM,     30,     15,     18,      1
ELEM,     31,     16,     18,      1
ELEM,     32,     17,     18,      1
ELEM,     33,     17,     19,      1
ELEM,     34,     17,     20,      1
ELEM,     35,     18,     20,      1
ELEM,     36,     19,     20,      1
ELEM,     37,     19,     21,      1
ELEM,     38,     19,     22,      1
ELEM,     39,     20,     22,      1
ELEM,     40,     21,     22,      1
ELEM,     41,     21,     23,      1
ELEM,     42,     21,     24,      1
ELEM,     43,     22,     24,      1
ELEM,     44,     23,     24,      1
ELEM,     45,     23,     25,      1
ELEM,     46,     23,     26,      1
ELEM,     47,     24,     26,      1
ELEM,     48,     25,     26,      1
ELEM,     49,     25,     27,      1
ELEM,     50,     25,     28,      1
ELEM,     51,     26,     28,      1
ELEM,     52,     27,     28,      1
ELEM,     53,     27,     29,      1
ELEM,     54,     27,     30,      1
ELEM,     55,     28,     30,      1
ELEM,     56,     29,     30,      1
ELEM,     57,     29,     31,      1
ELEM,     58,     29,     32,      1
ELEM,     59,     30,     32,      1
ELEM,     60,     31,     32,      1
ELEM,     61,     31,     33,      1
ELEM,     62,     31,     34,      1
ELEM,     63,     32,     34,      1
ELEM,     64,     33,     34,      1
ELEM,     65,      2,      3,      1
ELEM,     66,      4,      5,      1
ELEM,     67,      6,      7,      1
ELEM,     68,      8,      9,      1
ELEM,     69,     10,     11,      1
ELEM,     70,     12,     13,      1
ELEM,     71,     14,     15,      1
ELEM,     72,     16,     17,      1
ELEM,     73,     18,     19,      1
ELEM,     74,     20,     21,      1
ELEM,     75,     22,     23,      1
ELEM,     76,     24,     25,      1
ELEM,     77,     26,     27,      1
ELEM,     78,     28,     29,      1
ELEM,     79,     30,     31,      1
ELEM,     79,     30,     31,      1
ELEM,     79,     30,     31,      1
ELEM,     79,     30,     31,      1
ELEM,     79,     30,     31,      1
ELEM,     79,     30,     31,      1
ELEM,     79,     30,     31,      1
ELEM,     79,     30,     31,      1
ELEM,     79,     30,     31,      1
ELEM,     79,     30,     31,      1
ELEM,     79,     30,     31,      1
ELEM,     80,     32,     33,      1

# --- ELEMENT JOINT ---
#    ELEM ID,      Ryi,      Rzi,      Ryj,      Rzj
#             (kNm/rad) (kNm/rad) (kNm/rad) (kNm/rad)

# --- CONSTRAINT(CONS) ---
# CONS, NODE,   TX,   TY,   TZ,   RX,   RY,   RZ
#   TX..RZ: 0=FREE  1=FIXED

#    NODE ID,   TX,   TY,   TZ,   RX,   RY,   RZ

CONS,      1,    1,    1,    1,    1,    1,    1
CONS,      2,    1,    1,    1,    1,    1,    1

# --- POINT LOAD(PLOD) ---
# PLOD, NODE,   LC,       PX,       PY,       PZ,       MX,       MY,       MZ
